Ticker,CompanyName,CompanyCategory,Date,TtmNetIncome,ShareholdersEquity,PreviousRoe,PercentChangeInRoe,PercentOfPositiveWords,PercentOfNegativeWords,PercentOfLitiguousWords,PercentOfConstrainingWords,PercentOfStrongModalWords,PercentOfWeakModalWords,PercentOfUncertaintyWords
UPWK,upwork,Internet Services,12/31/2018,$-0.01B,$0.24B,169.7,-115.6393636,6.931792935,25.59431238,12.75272162,15.12997112,2.710508776,15.12997112,21.75072206
UPWK,upwork,Internet Services,9/30/2018,$-0.01B,$-0.03B,93.33,81.82792243,6.931792935,25.59431238,12.75272162,15.12997112,2.710508776,15.12997112,21.75072206
EB,eventbrite,Internet Services,12/31/2018,$-0.04B,$0.42B,-45.71,-62.26208707,8.699831771,27.30112954,12.06440759,13.77072819,3.340543139,13.77072819,21.05263158
EB,eventbrite,Internet Services,9/30/2018,$-0.05B,$0.42B,32.21,-241.9124495,8.699831771,27.30112954,12.06440759,13.77072819,3.340543139,13.77072819,21.05263158
LTRPB,liberty-tripadvisor-holdings,Internet Services,12/31/2018,$-0.06B,$3.74B,-11.43,-84.95188101,13.60691145,22.46220302,19.2224622,5.615550756,6.26349892,5.615550756,27.21382289
LTRPB,liberty-tripadvisor-holdings,Internet Services,9/30/2018,$-0.43B,$3.73B,-11.01,3.814713896,13.60691145,22.46220302,19.2224622,5.615550756,6.26349892,5.615550756,27.21382289
LTRPB,liberty-tripadvisor-holdings,Internet Services,6/30/2018,$-0.45B,$3.65B,-9.44,16.63135593,13.60691145,22.46220302,19.2224622,5.615550756,6.26349892,5.615550756,27.21382289
LTRPB,liberty-tripadvisor-holdings,Internet Services,3/31/2018,$-0.43B,$3.75B,-8.12,16.25615764,13.60691145,22.46220302,19.2224622,5.615550756,6.26349892,5.615550756,27.21382289
LTRPB,liberty-tripadvisor-holdings,Internet Services,12/31/2017,$-0.40B,$3.75B,0.15,-5513.333333,13.19796954,24.61928934,13.19796954,5.837563452,8.375634518,5.837563452,28.93401015
LTRPB,liberty-tripadvisor-holdings,Internet Services,9/30/2017,$0.01B,$5.28B,0.37,-59.45945946,13.19796954,24.61928934,13.19796954,5.837563452,8.375634518,5.837563452,28.93401015
LTRPB,liberty-tripadvisor-holdings,Internet Services,6/30/2017,$0.02B,$5.24B,0.55,-32.72727273,13.19796954,24.61928934,13.19796954,5.837563452,8.375634518,5.837563452,28.93401015
LTRPB,liberty-tripadvisor-holdings,Internet Services,3/31/2017,$0.03B,$5.29B,0.38,44.73684211,13.19796954,24.61928934,13.19796954,5.837563452,8.375634518,5.837563452,28.93401015
LTRPB,liberty-tripadvisor-holdings,Internet Services,12/31/2016,$0.02B,$5.42B,-0.7,-154.2857143,12.5,24.08536585,17.68292683,4.268292683,7.012195122,4.268292683,30.18292683
LTRPB,liberty-tripadvisor-holdings,Internet Services,9/30/2016,$-0.04B,$5.50B,-0.74,-5.405405405,12.5,24.08536585,17.68292683,4.268292683,7.012195122,4.268292683,30.18292683
LTRPB,liberty-tripadvisor-holdings,Internet Services,6/30/2016,$-0.04B,$5.46B,-0.83,-10.84337349,12.5,24.08536585,17.68292683,4.268292683,7.012195122,4.268292683,30.18292683
LTRPB,liberty-tripadvisor-holdings,Internet Services,3/31/2016,$-0.05B,$5.46B,-0.74,12.16216216,12.5,24.08536585,17.68292683,4.268292683,7.012195122,4.268292683,30.18292683
LTRPB,liberty-tripadvisor-holdings,Internet Services,12/31/2015,$-0.04B,$5.44B,-0.71,4.225352113,13.73239437,23.23943662,17.95774648,4.225352113,8.802816901,4.225352113,27.81690141
LTRPB,liberty-tripadvisor-holdings,Internet Services,9/30/2015,$-0.04B,$5.40B,-0.75,-5.333333333,13.73239437,23.23943662,17.95774648,4.225352113,8.802816901,4.225352113,27.81690141
LTRPB,liberty-tripadvisor-holdings,Internet Services,6/30/2015,$-0.04B,$5.38B,-0.85,-11.76470588,13.73239437,23.23943662,17.95774648,4.225352113,8.802816901,4.225352113,27.81690141
LTRPB,liberty-tripadvisor-holdings,Internet Services,3/31/2015,$-0.03B,$5.34B,-0.82,3.658536585,13.73239437,23.23943662,17.95774648,4.225352113,8.802816901,4.225352113,27.81690141
LTRPA,liberty-tripadvisor-holdings,Internet Services,12/31/2018,$-0.06B,$3.74B,-11.43,-84.95188101,13.60691145,22.46220302,19.2224622,5.615550756,6.26349892,5.615550756,27.21382289
LTRPA,liberty-tripadvisor-holdings,Internet Services,9/30/2018,$-0.43B,$3.73B,-11.01,3.814713896,13.60691145,22.46220302,19.2224622,5.615550756,6.26349892,5.615550756,27.21382289
LTRPA,liberty-tripadvisor-holdings,Internet Services,6/30/2018,$-0.45B,$3.65B,-9.44,16.63135593,13.60691145,22.46220302,19.2224622,5.615550756,6.26349892,5.615550756,27.21382289
LTRPA,liberty-tripadvisor-holdings,Internet Services,3/31/2018,$-0.43B,$3.75B,-8.12,16.25615764,13.60691145,22.46220302,19.2224622,5.615550756,6.26349892,5.615550756,27.21382289
